Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;502;154;1;DEMOCRACIA Y CONSENSO;positivo;27
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;502;154;3;MOVIMIENTO FEDERALISTA;positivo;6
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;502;154;4;NUESTRA CAUSA;positivo;3
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;502;154;5;UNIDOS POR LA PAMPA;positivo;97
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;502;154;2;INTEGRACION PAMPEANA;positivo;5
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;503;155;2;UNIDAD DE LA IZQUIERDA;positivo;3
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00134;La Pampa;ESCUELA N° 8;12-09-2021 19:53;3;00065;11;17;00696X;Quemú Quemú;503;155;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;4
;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;;;;;nulos;9
;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;;;;;recurridos;0
;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;;;;;comando;0
;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;;;;;blancos;2
;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;;;;;impugnados;0
SOCIALISTA;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;50;151;1;VAMOS CON VOS;positivo;4
MOVIMIENTO AL SOCIALISMO;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;200;152;1;PARA RENOVAR A LA IZQUIERDA;positivo;2
FRENTE DE TODOS;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;501;153;1;CELESTE Y BLANCA;positivo;82
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;502;154;1;DEMOCRACIA Y CONSENSO;positivo;22
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;502;154;3;MOVIMIENTO FEDERALISTA;positivo;4
JUNTOS POR EL CAMBIO;SENADORES NACIONALES;00133;La Pampa;ESC. ESPECIAL 6;12-09-2021 20:30;2;00065;11;17;00697X;Quemú Quemú;502;154;4;NUESTRA CAUSA;positivo;0
