Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;;;;;nulos;8
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;;;;;blancos;6
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;;;;;impugnados;0
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;111
CONSENSO ISHCHIGUALASTO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;502;200;1;CONSENSO;positivo;28
FRENTE DE TODOS;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;503;201;1;TODOS UNIDOS;positivo;63
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;10
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:19;3;00045;18;4;00625X;Rivadavia;504;202;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;6
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;;;;;nulos;11
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;;;;;comando;0
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;;;;;blancos;2
;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;;;;;impugnados;0
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;501;199;1;JUNTO CON VOS;positivo;103
CONSENSO ISHCHIGUALASTO;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;502;200;1;CONSENSO;positivo;25
FRENTE DE TODOS;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;503;201;1;TODOS UNIDOS;positivo;72
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00085;San Juan;PROVINCIA DE MENDOZA;12-09-2021 20:21;3;00045;18;4;00626X;Rivadavia;504;202;2;UNIDAD DE LA IZQUIERDA;positivo;12
