Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:30;3;00105;16;1;00046X;Adolfo Alsina;503;189;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;2,,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:30;3;00105;16;1;00046X;Adolfo Alsina;504;190;3;ROJO,BLANCO Y MORADO;positivo;3,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:30;3;00105;16;1;00046X;Adolfo Alsina;504;190;1;AMARILLA,AZUL,VERDE Y ROJA;positivo;7
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:30;3;00105;16;1;00046X;Adolfo Alsina;504;190;2;ROJA,BLANCA Y ROJA;positivo;28,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;;;;;nulos;11,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;;;;;recurridos;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;;;;;comando;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;;;;;blancos;6,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;;;;;impugnados;0,,
SOCIALISTA;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;50;185;1;ALFREDO BRAVO;positivo;14,,
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;165;186;1;PARA RENOVAR A LA IZQUIERDA;positivo;4,,
FRENTE DE TODOS;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;501;187;1;UNIDAD AZUL,CELESTE Y BLANCA;positivo;50,
JUNTOS SOMOS RIO NEGRO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;502;188;1;SIGAMOS CRECIENDO;positivo;60,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;503;189;2;UNIDAD DE LA IZQUIERDA;positivo;5,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;503;189;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;2,,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;504;190;3;ROJO,BLANCO Y MORADO;positivo;4,
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;504;190;1;AMARILLA,AZUL,VERDE Y ROJA;positivo;13
JUNTOS POR EL CAMBIO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:18;3;00105;16;1;00047X;Adolfo Alsina;504;190;2;ROJA,BLANCA Y ROJA;positivo;27,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;;;;;nulos;18,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;;;;;recurridos;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;;;;;comando;0,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;;;;;blancos;5,,
;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;;;;;impugnados;0,,
SOCIALISTA;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;50;185;1;ALFREDO BRAVO;positivo;12,,
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;165;186;1;PARA RENOVAR A LA IZQUIERDA;positivo;4,,
FRENTE DE TODOS;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;501;187;1;UNIDAD AZUL,CELESTE Y BLANCA;positivo;40,
JUNTOS SOMOS RIO NEGRO;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;502;188;1;SIGAMOS CRECIENDO;positivo;73,,
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00006;Río Negro;ESCUELA PRIMARIA N 309;12-09-2021 19:32;3;00105;16;1;00048X;Adolfo Alsina;503;189;2;UNIDAD DE LA IZQUIERDA;positivo;3,,
