Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos
FRENTE DE IZQUIERDA Y DE TRABAJADORES - UNIDAD;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;503;210;1;(R)EVOLUCIONEMOS LA IZQUIERDA;positivo;9
UNIÓN CÍVICA RADICAL;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;3;203;2;JUNTOS;positivo;25
UNIÓN CÍVICA RADICAL;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;3;203;1;CAMBIA SAN LUIS;positivo;13
MOVIMIENTO LIBRES DEL SUR;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;40;204;1;EL FUTURO ES NUESTRO;positivo;4
GEN;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;69;205;1;LA LISTA DEL PUEBLO;positivo;2
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;208;206;1;PARA RENOVAR A LA IZQUIERDA;positivo;0
TODOS UNIDOS;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:17;3;00002;19;1;00464X;Juan Martín de Pueyrredón;209;207;1;SAN LUIS PRIMERO;positivo;5
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:18;3;00002;19;1;00465X;Juan Martín de Pueyrredón;;;;;nulos;9
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:18;3;00002;19;1;00465X;Juan Martín de Pueyrredón;;;;;recurridos;0
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:18;3;00002;19;1;00465X;Juan Martín de Pueyrredón;;;;;comando;0
;DIPUTADOS NACIONALES;00059;San Luis;ACC.LOS NOGALES COL.N°13 PROF.R.MOYANO;12-09-2021 22:18;3;00002;19;1;00465X;Juan Martín de Pueyrredón;;;;;blancos;5
