Agrupacion;Cargo;Codigo;Distrito;Establecimiento;Fecha;IdCargo;IdCircuito;IdDistrito;IdSeccion;Mesa;Seccion;idAgrupacion;idAgrupacionInt;idLista;lista;tipoVoto;votos,
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:14;3;00113;24;1;00205X;Ushuaia;502;251;1;ADELANTE TIERRA DEL FUEGO;positivo;4
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:14;3;00113;24;1;00205X;Ushuaia;502;251;5;REPÚBLICA URGENTE;positivo;4
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:14;3;00113;24;1;00205X;Ushuaia;502;251;3;JUNTOS PODEMOS;positivo;39
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;;;;;nulos;16
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;;;;;recurridos;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;;;;;comando;0
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;;;;;blancos;3
;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;;;;;impugnados;0
OBRERO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;89;245;1;FRENTE DE IZQUIERDA Y DE TRABAJADORES UNIDAD COLOR ROJA;positivo;6
MOVIMIENTO POPULAR FUEGUINO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;154;246;1;MILITANCIA MOPOFISTA;positivo;3
SOMOS FUEGUINOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;167;247;1;BLANCA;positivo;37
REPUBLICANOS UNIDOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;212;248;1;FUEGUINOS;positivo;7
MOVIMIENTO AL SOCIALISMO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;214;249;1;PARA RENOVAR A LA IZQUIERDA;positivo;2
FRENTE DE TODOS;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;501;250;1;CELESTE Y BLANCA;positivo;62
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;502;251;4;JUNTOS TIERRA DEL FUEGO;positivo;24
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;502;251;2;EVOLUCIÓN M.N.M.R.;positivo;4
JUNTOS POR EL CAMBIO TIERRA DEL FUEGO;DIPUTADOS NACIONALES;00029;Tierra del Fuego,Antártida e Islas del Atlántico Sur;ESCUELA Nº 39 MIRADOR DEL OLIVIA;12-09-2021 19:36;3;00113;24;1;00206X;Ushuaia;502;251;1;ADELANTE TIERRA DEL FUEGO;positivo;3
